Score,Flips left,Heads,Tails,Action,Reward
  4, 51, 1, 0, 0, -1
  4, 50, 1, 1, 0, -1
  4, 49, 2, 1, 0, -1
  4, 48, 2, 2, 0, -1
  4, 47, 3, 2, 0, -1
  4, 46, 3, 3, 0, -1
  4, 45, 3, 4, 0, -1
  4, 59, 0, 0, 2, 14
  5, 59, 1, 0, 0,  0
  5, 58, 2, 0, 0, -1
  5, 57, 3, 0, 0, -1
  5, 71, 0, 0, 3, 14
  6, 71, 0, 1, 0,  0
  6, 70, 1, 1, 0, -1
  6, 69, 2, 1, 0, -1
  6, 68, 2, 2, 0, -1
  6, 67, 2, 3, 0, -1
  6, 66, 3, 3, 0, -1
  6, 65, 3, 4, 0, -1
  7, 80, 0, 0, 2, 15
  7, 79, 1, 0, 0, -1
  7, 78, 1, 1, 0, -1
  7, 77, 1, 2, 0, -1
  7, 76, 2, 2, 0, -1
  7, 75, 3, 2, 0, -1
  7, 74, 4, 2, 0, -1
  7, 73, 5, 2, 0, -1
  7, 72, 6, 2, 0, -1
  7, 71, 7, 2, 0, -1
  7, 41, 0, 0, 3,-30
  7, 40, 1, 0, 0, -1
  7, 39, 2, 0, 0, -1
  7, 38, 3, 0, 0, -1
  8, 53, 0, 0, 3, 15
  8, 52, 0, 1, 0, -1
  8, 51, 1, 1, 0, -1
  8, 50, 2, 1, 0, -1
  8, 49, 3, 1, 0, -1
  8, 48, 4, 1, 0, -1
  8, 47, 5, 1, 0, -1
  9, 62, 0, 0, 3, 15
  9, 61, 0, 1, 0, -1
  9, 60, 1, 1, 0, -1
  9, 59, 1, 2, 0, -1
  9, 58, 1, 3, 0, -1
 10, 73, 0, 0, 2, 15
 10, 72, 1, 0, 0, -1
 10, 71, 2, 0, 0, -1
 10, 70, 3, 0, 0, -1
 11, 85, 0, 0, 3, 15
 11, 84, 1, 0, 0, -1
 11, 83, 2, 0, 0, -1
 11, 82, 3, 0, 0, -1
 12, 97, 0, 0, 3, 15
 12, 96, 1, 0, 0, -1
 12, 95, 2, 0, 0, -1
 12, 94, 3, 0, 0, -1
 12, 64, 0, 0, 3,-30
 12, 63, 1, 0, 0, -1
 12, 62, 2, 0, 0, -1
 12, 61, 2, 1, 0, -1
 12, 60, 3, 1, 0, -1
 12, 59, 4, 1, 0, -1
 12, 58, 4, 2, 0, -1
 12, 57, 4, 3, 0, -1
 12, 56, 5, 3, 0, -1
 12, 55, 6, 3, 0, -1
 12, 54, 7, 3, 0, -1
 12, 53, 8, 3, 0, -1
 13, 68, 0, 0, 3, 15
 13, 67, 0, 1, 0, -1
 13, 66, 1, 1, 0, -1
 13, 65, 1, 2, 0, -1
 13, 64, 1, 3, 0, -1
 14, 79, 0, 0, 2, 15
 14, 78, 0, 1, 0, -1
 14, 77, 1, 1, 0, -1
 14, 76, 2, 1, 0, -1
 14, 75, 3, 1, 0, -1
 14, 74, 3, 2, 0, -1
 14, 73, 4, 2, 0, -1
 14, 72, 4, 3, 0, -1
 14, 71, 5, 3, 0, -1
 14, 70, 6, 3, 0, -1
 14, 69, 7, 3, 0, -1
 14, 68, 8, 3, 0, -1
 15, 83, 0, 0, 3, 15
 15, 82, 1, 0, 0, -1
 15, 81, 2, 0, 0, -1
 15, 80, 3, 0, 0, -1
 15, 50, 0, 0, 3,-30
 15, 49, 1, 0, 0, -1
 15, 48, 2, 0, 0, -1
