Score,Flips left,Heads,Tails,Action,Reward
 23, 60, 3, 2, 1, -5
 23, 59, 4, 2, 0, -1
 23, 58, 4, 3, 0, -1
 23, 57, 5, 3, 0, -1
 23, 56, 6, 3, 0, -1
 23, 55, 7, 3, 0, -1
 23, 54, 8, 3, 0, -1
 23, 53, 8, 4, 0, -1
 23, 52, 9, 4, 0, -1
 23, 51,10, 4, 0, -1
 24, 66, 0, 0, 3, 15
 24, 61, 2, 3, 1, -5
 24, 60, 3, 3, 0, -1
 24, 59, 3, 4, 0, -1
 25, 74, 0, 0, 2, 15
 25, 69, 4, 1, 1, -5
 25, 68, 5, 1, 0, -1
 25, 38, 0, 0, 3,-30
 25, 37, 0, 1, 0, -1
 25, 36, 1, 1, 0, -1
 25, 35, 2, 1, 0, -1
 25, 34, 3, 1, 0, -1
 25, 33, 4, 1, 0, -1
 25, 32, 4, 2, 0, -1
 25, 31, 5, 2, 0, -1
 25, 30, 5, 3, 0, -1
 25, 29, 5, 4, 0, -1
 25, 28, 5, 5, 0, -1
 25, 27, 6, 5, 0, -1
 25, 26, 7, 5, 0, -1
 25, 25, 7, 6, 0, -1
 25, 24, 8, 6, 0, -1
 25, 23, 8, 7, 0, -1
 26, 38, 0, 0, 2, 15
 26, 37, 1, 0, 0, -1
 26, 36, 2, 0, 0, -1
 26, 35, 3, 0, 0, -1
 26, 34, 4, 0, 0, -1
 27, 49, 0, 0, 3, 15
 27, 48, 0, 1, 0, -1
 27, 47, 0, 2, 0, -1
 28, 62, 0, 0, 2, 15
 28, 57, 5, 0, 1, -5
 29, 72, 0, 0, 3, 15
 29, 67, 4, 1, 1, -5
 29, 66, 5, 1, 0, -1
 30, 81, 0, 0, 3, 15
 30, 76, 5, 0, 1, -5
 31, 91, 0, 0, 3, 15
 31, 86, 3, 2, 1, -5
 31, 85, 4, 2, 0, -1
 31, 84, 4, 3, 0, -1
 31, 83, 5, 3, 0, -1
 31, 82, 5, 4, 0, -1
 31, 81, 5, 5, 0, -1
 31, 80, 5, 6, 0, -1
 32, 95, 0, 0, 2, 15
 32, 90, 1, 4, 1, -5
 33,105, 0, 0, 2, 15
 33,100, 5, 0, 1, -5
 34,115, 0, 0, 3, 15
 34,110, 3, 2, 1, -5
